,titles,images,ratings,prices
0,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15 (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg",https://m.media-amazon.com/images/I/81T5jRKDkvL._AC_UY218_.jpg,3.6 out of 5 stars,"₹52,990"
1,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN",https://m.media-amazon.com/images/I/618ac7UaMrL._AC_UY218_.jpg,4.5 out of 5 stars,"₹1,09,990"
2,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black",https://m.media-amazon.com/images/I/61vGumezioL._AC_UY218_.jpg,3.3 out of 5 stars,"₹15,430"
3,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg,4.0 out of 5 stars,"₹29,990"
4,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black",https://m.media-amazon.com/images/I/617Ykb5YvLL._AC_UY218_.jpg,3.7 out of 5 stars,"₹12,980"
5,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/16GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG",https://m.media-amazon.com/images/I/517m2WrmJxL._AC_UY218_.jpg,4.6 out of 5 stars,"₹41,990"
6,"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,",https://m.media-amazon.com/images/I/71MuvuEjyAL._AC_UY218_.jpg,4.4 out of 5 stars,"₹22,990"
7,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam",https://m.media-amazon.com/images/I/61xlOv4ZmiL._AC_UY218_.jpg,3.9 out of 5 stars,"₹15,990"
8,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)",https://m.media-amazon.com/images/I/51W7yr0NrIL._AC_UY218_.jpg,3.4 out of 5 stars,"₹15,880"
9,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UY218_.jpg,4.6 out of 5 stars,"₹62,990"
10,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1696IN",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg,3.6 out of 5 stars,"₹45,990"
11,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray",https://m.media-amazon.com/images/I/61aaFLxqFKL._AC_UY218_.jpg,4.0 out of 5 stars,"₹43,990"
12,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",https://m.media-amazon.com/images/I/71Zy+qaX82L._AC_UY218_.jpg,4.1 out of 5 stars,"₹32,490"
13,"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS",https://m.media-amazon.com/images/I/71ykbL+REgL._AC_UY218_.jpg,3.9 out of 5 stars,"₹24,990"
14,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",https://m.media-amazon.com/images/I/61qlqvTsocL._AC_UY218_.jpg,3.4 out of 5 stars,"₹21,719"
15,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS",https://m.media-amazon.com/images/I/71FtdqEC1BL._AC_UY218_.jpg,3.9 out of 5 stars,"₹47,990"
16,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",https://m.media-amazon.com/images/I/61qlqvTsocL._AC_UY218_.jpg,3.4 out of 5 stars,"₹20,990"
17,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN",https://m.media-amazon.com/images/I/712vCLbaXGL._AC_UY218_.jpg,3.7 out of 5 stars,"₹23,990"
